section,person,topic,subtopic
#aaronmarcus,Aaron Marcus,Creativity and Artistic Integration,Digital Resurrection
#aaronmarcus,Aaron Marcus,Artificial Intelligence and Generativity,Generative Art
#aaronmarcus,Aaron Marcus,Creativity and Artistic Integration,Interactivity
#aaronmarcus,Aaron Marcus,Creativity and Artistic Integration,Movie Creation
#aaronmarcus,Aaron Marcus,Creativity and Artistic Integration,Narrative Construction
#alvyraysmith,Alvy Ray Smith,Digital Culture and Future,Digital Future
#alvyraysmith,Alvy Ray Smith,Technological Evolution and Innovation,Innovation
#alvyraysmith,Alvy Ray Smith,Creativity and Artistic Integration,Making
#alvyraysmith,Alvy Ray Smith,Digital Culture and Future,Pixar
#alvyraysmith,Alvy Ray Smith,Digital Culture and Future,SIGGRAPH
#annickbureaud,Annick Bureaud,Artificial Intelligence and Generativity,Cognition
#annickbureaud,Annick Bureaud,Technological Evolution and Innovation,Jacquard Loom
#annickbureaud,Annick Bureaud,Creativity and Artistic Integration,Music machines
#annickbureaud,Annick Bureaud,Technological Evolution and Innovation,Tactile
#annickbureaud,Annick Bureaud,Technological Evolution and Innovation,Technology
#behnazfarahi,Behnaz Farahi,Socio-political and Environmental Themes,Challenge Injustice
#behnazfarahi,Behnaz Farahi,Technological Evolution and Innovation,Computation
#behnazfarahi,Behnaz Farahi,Technological Evolution and Innovation,Emerging Technologies
#behnazfarahi,Behnaz Farahi,Digital Culture and Future,SIGGRAPH
#behnazfarahi,Behnaz Farahi,Socio-political and Environmental Themes,Socio-political
#billseaman,Bill Seaman,Artificial Intelligence and Generativity,And Robotics
#billseaman,Bill Seaman,Nature and Biomimicry,Biomimetics
#billseaman,Bill Seaman,Socio-political and Environmental Themes,Health of the planet
#billseaman,Bill Seaman,Socio-political and Environmental Themes,Systems Thinking
#billseaman,Bill Seaman,Digital Culture and Future,Transdisciplinarity
#brendalaurel,Brenda Laurel,Technological Evolution and Innovation,Computer Graphics
#brendalaurel,Brenda Laurel,Nature and Biomimicry,Nature
#brendalaurel,Brenda Laurel,Digital Culture and Future,SIGGRAPH
#brendalaurel,Brenda Laurel,Technological Evolution and Innovation,Technology
#brendalaurel,Brenda Laurel,Nature and Biomimicry,Waving Grass
#sommerer,Christa Sommerer & Laurent Mignonneau,Creativity and Artistic Integration,Interactivity
#sommerer,Christa Sommerer & Laurent Mignonneau,Creativity and Artistic Integration,Interactivity
#sommerer,Christa Sommerer & Laurent Mignonneau,Creativity and Artistic Integration,Media Art
#sommerer,Christa Sommerer & Laurent Mignonneau,Digital Culture and Future,SIGGRAPH
#sommerer,Christa Sommerer & Laurent Mignonneau,Socio-political and Environmental Themes,Sustainability
#davidem,David Em,Technological Evolution and Innovation,Archiving
#davidem,David Em,Artificial Intelligence and Generativity,Artificial Intelligence
#davidem,David Em,Socio-political and Environmental Themes,Democratization
#davidem,David Em,Technological Evolution and Innovation,Real-time Processing
#davidem,David Em,Technological Evolution and Innovation,Technology
#ernestedmonds,Ernest Edmonds,Creativity and Artistic Integration,Art Exhibition
#ernestedmonds,Ernest Edmonds,Technological Evolution and Innovation,Computer Graphics
#ernestedmonds,Ernest Edmonds,Creativity and Artistic Integration,Creativity
#ernestedmonds,Ernest Edmonds,Creativity and Artistic Integration,Creativity
#ernestedmonds,Ernest Edmonds,Digital Culture and Future,SIGGRAPH
#joannazylinska,Joanna Zylinska,Artificial Intelligence and Generativity,Algorithmic Curation
#joannazylinska,Joanna Zylinska,Creativity and Artistic Integration,Artistic Potentiality
#joannazylinska,Joanna Zylinska,Creativity and Artistic Integration,Creativity
#joannazylinska,Joanna Zylinska,Artificial Intelligence and Generativity,Generative Art
#joannazylinska,Joanna Zylinska,Digital Culture and Future,Virtual Reality
#fleischmann,Monika Fleischmann & Wolfgang Strauss,Socio-political and Environmental Themes,Democracy
#fleischmann,Monika Fleischmann & Wolfgang Strauss,Digital Culture and Future,Digital Future
#fleischmann,Monika Fleischmann & Wolfgang Strauss,Technological Evolution and Innovation,Ethical Technology
#fleischmann,Monika Fleischmann & Wolfgang Strauss,Creativity and Artistic Integration,Media Art
#fleischmann,Monika Fleischmann & Wolfgang Strauss,Socio-political and Environmental Themes,Sustainability
#nickmontfort,Nick Montfort,Socio-political and Environmental Themes,For all
#nickmontfort,Nick Montfort,Artificial Intelligence and Generativity,Generativity
#nickmontfort,Nick Montfort,Creativity and Artistic Integration,Interactivity
#nickmontfort,Nick Montfort,Technological Evolution and Innovation,Programmability
#nickmontfort,Nick Montfort,Technological Evolution and Innovation,Responsiveness
#paulbrown,Paul Brown,Socio-political and Environmental Themes,Anthropocene
#paulbrown,Paul Brown,Artificial Intelligence and Generativity,Artificial Intelligence
#paulbrown,Paul Brown,Technological Evolution and Innovation,Computer Graphics
#paulbrown,Paul Brown,Artificial Intelligence and Generativity,Generative Art
#paulbrown,Paul Brown,Creativity and Artistic Integration,Like Magic
#richardchuang,Richard Chuang,Technological Evolution and Innovation,Computer Graphics
#richardchuang,Richard Chuang,Creativity and Artistic Integration,Creativity
#richardchuang,Richard Chuang,Artificial Intelligence and Generativity,Generative Tools
#richardchuang,Richard Chuang,Technological Evolution and Innovation,Innovation
#richardchuang,Richard Chuang,Digital Culture and Future,SIGGRAPH
#richardlowenberg,Richard Lowenberg,Creativity and Artistic Integration,Artful
#richardlowenberg,Richard Lowenberg,Artificial Intelligence and Generativity,Artificial Intelligence
#richardlowenberg,Richard Lowenberg,Creativity and Artistic Integration,Creativity
#richardlowenberg,Richard Lowenberg,Technological Evolution and Innovation,Innovation
#richardlowenberg,Richard Lowenberg,Technological Evolution and Innovation,Technology
#rogermalina,Roger Malina,Artificial Intelligence and Generativity,AI Art
#rogermalina,Roger Malina,Creativity and Artistic Integration,Computer Art
#rogermalina,Roger Malina,Creativity and Artistic Integration,Digital Arts
#rogermalina,Roger Malina,Digital Culture and Future,SIGGRAPH
#rogermalina,Roger Malina,Socio-political and Environmental Themes,Terminology Evolution
#royascott,Roy Ascott,Creativity and Artistic Integration,Art and Science
#royascott,Roy Ascott,Artificial Intelligence and Generativity,Cognition
#royascott,Roy Ascott,Technological Evolution and Innovation,Nanotechnology
#royascott,Roy Ascott,Technological Evolution and Innovation,Quantum Computing
#royascott,Roy Ascott,Digital Culture and Future,Telematics
#wolf,Valerie Wolf Gang,Artificial Intelligence and Generativity,Artificial Intelligence
#wolf,Valerie Wolf Gang,Digital Culture and Future,Computer Graphics
#wolf,Valerie Wolf Gang,Socio-political and Environmental Themes,Humanity
#wolf,Valerie Wolf Gang,Technological Evolution and Innovation,Technology
#wolf,Valerie Wolf Gang,Digital Culture and Future,Virtual Reality
#YoichiroKawaguchi,Yoichiro Kawaguchi,Artificial Intelligence and Generativity,Biological Intelligence
#YoichiroKawaguchi,Yoichiro Kawaguchi,Technological Evolution and Innovation,Computer Graphics
#YoichiroKawaguchi,Yoichiro Kawaguchi,Nature and Biomimicry,Evolution
#YoichiroKawaguchi,Yoichiro Kawaguchi,Digital Culture and Future,SIGGRAPH
#YoichiroKawaguchi,Yoichiro Kawaguchi,Digital Culture and Future,Virtual Reality
#charlesbaldwin,Charles Baldwin,Nature and Biomimicry,RNA
#charlesbaldwin,Charles Baldwin,Nature and Biomimicry,Bioelectric circuitry
#charlesbaldwin,Charles Baldwin,Technological Evolution and Innovation,ESP messaging
#charlesbaldwin,Charles Baldwin,Digital Culture and Future,Digital intelligences
#charlesbaldwin,Charles Baldwin,Digital Culture and Future,Ultraviolet light tattooing